Species,Status,Seed Mass (mg),Maximum Height (m),SLA (cm^2/g),Leaf Size (cm^2),Leaf Nitrogen (%)
Monotropa_uniflora,n,NA,0.3,NA,NA,1.97
Montia_fontana,n,0.262004419,0.2,534.0600126,0.108313716,NA
Montia_parvifolia,n,NA,NA,NA,NA,NA
Myosotis_discolor,i,0.204658006,0.5,298.7326159,0.67368278,NA
Myosotis_micrantha,i,NA,NA,NA,NA,NA
Myosurus_minimus,n,0.07661638,0.1,206.8060184,0.827786772,NA
Narcissus_pseudonarcissus,i,5.235281254,NA,192.9352223,17.31317995,4.3
Nemophila_parviflora,n,4.691789637,0.3,NA,NA,NA
Nepeta_cataria,i,0.55148294,1,308.650226,4.014841737,NA
Oemleria_cerasiformis,n,192.045805,3,166.155671,15.61061777,1.92
Oenanthe_sarmentosa,n,2.186280128,1,NA,NA,NA
Olsynium_douglasii,n,2.7284,0.3,NA,NA,NA
Opuntia_fragilis,n,22.36643436,0.2,NA,NA,NA
Orobanche_californica,n,0.011,0.35,NA,NA,NA
Orobanche_uniflora,n,0.00652469,0.15,NA,NA,NA
Osmorhiza_chilensis,n,6.650562427,NA,NA,1.07,NA
Osmorhiza_purpurea,n,NA,NA,NA,NA,NA
Oxytropis_campestris,n,1.786199296,0.3,149.2537313,NA,NA
Paxistima_myrsinites,n,NA,1,NA,NA,NA
Pentagramma_triangularis,n,NA,NA,NA,NA,NA
Perideridia_gairdneri,n,1.030198427,1.2,NA,NA,NA
Petroselinum_crispum,i,1.656424296,NA,NA,NA,NA
Phalaris_arundinacea,i,0.68753826,2,209.1356762,33.66,3.18
Philadelphus_lewisii,n,0.111783397,3,NA,NA,NA
Phyllospadix_scouleri,n,NA,0.4,NA,NA,NA
Picea_sitchensis,n,2.315457185,60.86065574,63.71489817,0.180636635,1.340906734
Pinus_contorta,n,5.66663163,21.81818182,38.17839945,NA,1.081757615
Piperia_elegans,n,NA,NA,NA,NA,NA
Plagiobothrys_scouleri,n,NA,NA,NA,NA,NA
Plantago_elongata,i,NA,NA,NA,NA,NA
Plantago_lanceolata,i,1.258983651,0.43560879,191.1300186,13.30215447,1.826880883
Plantago_major,i,0.175186471,0.230769231,205.4944927,4.581488774,1.342190893
Plantago_maritima,n,0.396105591,0.24,114.9386818,6.669353877,NA
Plectritis_congesta,n,0.562673973,0.6,NA,NA,NA
Poa_annua,i,0.253322893,0.292124306,369.9339183,1.368892137,3.514680872
Poa_bulbosa,i,0.573100316,0.6,208.5693582,0.159162322,1.34228466
Poa_compressa,i,0.212231483,0.6,204.2454144,1.767318609,5.06
Poa_confinis,n,NA,NA,NA,NA,NA
Poa_pratensis,i,0.282177066,0.461538462,218.6366691,9.66850701,2.166492983
Poa_secunda,n,0.384813303,1.2,NA,NA,1.583666632
Poa_trivialis,n,0.150049836,0.406850033,321.6123488,0.905384859,4.26745826
Polygonum_aviculare,i,0.965717101,1,291.4169516,3.302888492,3.733764435
Polygonum_douglasii,n,1.664393437,0.4,NA,NA,NA
Polygonum_fowleri,n,NA,0.5,NA,NA,NA
Polygonum_spergulariiforme,n,NA,NA,NA,NA,NA
Polypodium_glycyrrhiza,n,NA,NA,NA,NA,NA
Polypodium_hesperium,n,NA,NA,NA,NA,NA
Polypogon_monspeliensis,i,0.083101785,0.7,NA,NA,NA
Polystichum_munitum,n,NA,1.5,NA,NA,NA
Populus_tremuloides,n,0.117330417,16.01243127,123.5389196,18.99828662,2.302322432
Potentilla_anserina,n,0.902587301,0.25,208.78982,34.24778424,2.719965555
Primula_pauciflora,n,0.312269662,NA,NA,NA,NA
Prunella_vulgaris,i,0.809860994,0.285714286,288.5187379,6.668260239,1.67474742
Prunus_avium,i,178.545867,15.38915094,190.4136994,26.37000792,1.89833093
Prunus_cerasus,i,162.4189817,NA,149.6723297,24.42484786,2.829911658
Prunus_emarginata,n,42.2495271,15,173.2622931,8.083807807,NA
Prunus_mahaleb,i,83.8023508,9.473684211,196.9160663,7.01420061,2.068225589
Prunus_virginiana,n,68.25635896,10,158.5849192,21.26233322,2.478216425
Pseudognaphalium_stramineum,n,NA,NA,NA,NA,NA
Pseudotsuga_menziesii,n,15.02411298,61.13948696,60.5069259,0.276626178,1.22967247
Pteridium_aquilinum,n,NA,1.7,140.5284953,NA,2.335245064
Puccinellia_nutkaensis,n,NA,NA,NA,NA,NA
Pyrus_calleryana,i,12.9,NA,NA,NA,1.6
Pyrus_communis,i,32.2815353,15,62.06328908,NA,1.374263439
Quercus_garryana,n,4273.643507,25,71.33994171,22.39204267,NA
Ranunculus_californicus,n,2.364192149,0.6,NA,NA,NA
Ranunculus_occidentalis,n,2.538461945,0.6,NA,NA,NA
Ranunculus_uncinatus,n,0.698538474,0.9,NA,NA,NA
Ribes_divaricatum,n,2.06,2.666666667,345.84,11.98,2.28
Ribes_lacustre,n,0.919779678,2,NA,NA,NA
Ribes_sanguineum,n,2.592964007,2.164556962,220.7260746,32.95499962,2.54
Rosa_gymnocarpa,n,21.0546251,1.5,NA,1.91,NA
Rosa_nutkana,n,11.87681526,3,NA,NA,NA
Rubus_armeniacus,i,NA,NA,NA,NA,NA
Rubus_laciniatus,i,NA,NA,NA,NA,NA
Rubus_leucodermis,n,1.013653195,2,297.2710748,22.96548874,NA
Rubus_parviflorus,n,0.994691291,1.985294118,449.36,49.56175317,2.19
Rubus_spectabilis,n,3.151148546,4,185.2408199,19.70796505,NA
Rubus_ursinus,n,2.017121105,2.903225806,183.0051589,12.58190504,2.01
Rubus_vestitus,i,NA,NA,NA,NA,NA
Rumex_acetosella,i,0.501486817,0.241627287,280.4774555,1.652544532,2.498445741
Rumex_conglomeratus,i,1.33498522,1,220,41.9,NA
Rumex_crispus,i,1.410311714,0.461538462,223.1873168,141.0409835,NA
Rumex_occidentalis,n,1.91517306,1.5,NA,NA,NA
Rumex_transitorius,n,NA,NA,NA,NA,NA
Sagina_decumbens,n,0.011,0.15,NA,NA,NA
Sagina_maxima,n,NA,NA,NA,NA,NA
Salix_hookeriana,n,NA,NA,NA,NA,NA
Salix_lasiandra,n,NA,NA,NA,NA,NA
Salix_scouleriana,n,NA,NA,NA,NA,NA
Salix_sitchensis,n,NA,NA,NA,NA,NA
Sambucus_racemosa,n,1.88860629,3.318277634,281.1331973,106.9625018,5.99
Sanicula_arctopoides,n,2.824666788,0.3,NA,NA,NA
Sanicula_bipinnatifida,n,1.928,0.6,NA,NA,NA
Sanicula_crassicaulis,n,4.662492388,1.2,NA,NA,NA
Sarcocornia_perennis,n,4.851536994,NA,NA,NA,NA
Satureja_douglasii,n,NA,NA,NA,NA,NA
Saxifraga_caespitosa,n,NA,NA,NA,NA,NA
Scorzoneroides_autumnalis,i,0.694395374,NA,258.2912126,1.120193432,2.142405648
Sedum_album,i,0.032938388,0.2,183.5043747,0.224399626,NA
Sedum_lanceolatum,n,0.080672425,0.25,NA,NA,NA
Sedum_spathulifolium,n,NA,NA,NA,NA,NA
Selaginella_wallacei,n,NA,NA,NA,NA,NA
Senecio_sylvaticus,i,0.262825591,0.8,295,53.36,NA
Senecio_vulgaris,i,0.217471783,0.495,302.5704943,3.320963716,NA
Shepherdia_canadensis,n,8.88606731,2,NA,NA,NA
Sherardia_arvensis,i,1.554623388,NA,221.2662107,0.081240384,NA
Silene_antirrhina,i,0.076307285,0.8,NA,NA,NA
Silene_coronaria,i,NA,NA,NA,NA,NA
Silene_gallica,i,0.330994005,0.5,339.4001015,4.38533352,NA
Silene_menziesii,n,0.245295088,0.7,NA,NA,NA
Silene_scouleri,n,0.2956,0.8,NA,NA,NA
Sinapis_arvensis,i,1.632358497,0.666666667,321.3794661,70.9516735,NA
Solanum_dulcamara,i,2.773823092,3,310.8730142,13.56651386,3.98873037
Solidago_lepida,n,NA,NA,NA,NA,NA
Soliva_sessilis,i,0.938798109,NA,NA,NA,NA
Sonchus_arvensis,i,0.465857556,2,212.3101594,49.94287684,NA
Sonchus_asper,i,0.272022164,1.2,246.2412424,50.59968119,3.29
Sonchus_oleraceus,i,0.31684064,1.2,348.5341287,39.79099623,2.882149565
Sorbus_aucuparia,i,4.354886292,1.466037513,155.2289308,6.168301951,2.054011683
Sorbus_hybrida,i,NA,NA,NA,NA,NA
Sorbus_intermedia,i,26.12212565,7.2,174.1614695,52.7809303,NA
Spergularia_canadensis,n,NA,NA,NA,NA,NA
Spergularia_macrotheca,n,0.094630274,0.45,NA,NA,NA
Spergularia_rubra,i,0.042786997,0.3,153.1571714,0.091651514,2.71
Spergularia_salina,n,NA,NA,NA,NA,NA
Spiranthes_romanzoffiana,n,0.0013759,0.5,NA,NA,NA
Stellaria_crispa,n,0.057227616,0.6,NA,NA,NA
Stellaria_media,i,0.303420742,0.409090909,358.8464209,3.075897726,4.043831184
Stellaria_nitens,n,0.096,0.25,NA,NA,NA
Symphoricarpos_albus,n,5.894830775,1.987012987,224.7187713,19.46608042,1.371594582
Symphyotrichum_subspicatum,n,NA,NA,NA,NA,NA
Taeniatherum_caput_medusae,i,6.216722615,NA,NA,NA,1.83
Taraxacum_officinale,i,0.631089303,0.6,309.7168031,37.18,3.569312249
Taxus_brevifolia,n,30.89190426,15,90.62390849,0.22,1.186026973
Teesdalia_nudicaulis,i,0.29007774,0.25,278.9336839,1.044413711,NA
Tellima_grandiflora,n,0.0483556,0.8,342.1184006,57.77,NA
Thuja_plicata,n,1.347086579,60,NA,NA,1.186303521
Tiarella_trifoliata,n,0.426724564,0.5,NA,NA,NA
Toxicoscordion_venenosum,n,1.663359651,NA,NA,NA,NA
Tragopogon_porrifolius,i,11.46463558,1,293.6887403,13.34863939,NA
Trientalis_latifolia,n,NA,NA,NA,NA,NA
Trifolium_dubium,i,0.379751199,0.333333333,292.4753661,1.289883716,NA
Trifolium_incarnatum,i,2.665283334,0.8,282.814481,14.18684249,NA
Trifolium_macraei,n,1.52,0.3,NA,NA,NA
Trifolium_microcephalum,n,0.519199384,0.7,NA,NA,2.89
Trifolium_microdon,n,NA,NA,NA,NA,NA
Trifolium_oliganthum,n,1.062,0.35,NA,NA,NA
Trifolium_pratensis,i,NA,NA,NA,NA,NA
Trifolium_procumbens,i,NA,NA,NA,NA,NA
Trifolium_repens,i,0.55993871,0.171428571,280.1702401,3.669746609,4.083380606
Trifolium_subterraneum,i,6.519350036,NA,250,NA,5.13
Trifolium_tridentatum,n,NA,NA,NA,NA,NA
Trifolium_variegatum,n,1.4583747,0.6,NA,NA,NA
Triglochin_maritima,n,0.579672792,1.2,110.8527077,3.737214378,NA
Triphysaria_pusilla,n,0.228835004,0.2,NA,NA,NA
Trisetum_cernuum,n,0.665302939,NA,NA,NA,NA
Triteleia_grandiflora,n,1.2025,0.7,NA,NA,NA
Triteleia_hyacinthina,n,1.1856,0.6,NA,NA,NA
Tsuga_heterophylla,n,1.914950852,60,90.5097692,0.16,1.180839834
Turritis_glabra,n,0.066238662,1.2,257.8523087,7.301206205,NA
Typha_latifolia,n,0.071737302,2.727272727,97.01537514,218.502322,1.240192825
Urtica_dioica,n,0.136105062,2,269.0681423,31.54897371,4.360904847
Vaccinium_ovatum,n,1.636435002,3,NA,NA,0.684105255
Vaccinium_parvifolium,n,0.222008076,4,204.1743443,1.508973161,NA
Valeriana_hookeri,n,NA,NA,NA,NA,NA
Valerianella_locusta,i,1.710904666,0.04,317,1.52,NA
Veronica_arvensis,i,0.113359679,0.16,310.925452,1.049779848,NA
Veronica_chamaedrys,i,0.20636128,0.15,295.9284433,2.923066309,1.888987883
Veronica_officinalis,i,0.133932853,0.4,254.8623022,0.774209274,1.959907249
Veronica_peregrina,i,0.032529524,0.25,305.9564263,0.395575557,NA
Veronica_serpyllifolia,i,0.056224391,0.3,228.5810126,1.88,NA
Vicia_americana,n,12.64809333,0.461538462,NA,NA,2.588397187
Vicia_cracca,i,14.195288,2,260.9799102,9.581503014,4.070856733
Vicia_hirsuta,i,5.074275981,0.7,214.0022717,2.498803694,NA
